id,seller_id,buyer_id,dttm,sum,task_id
1,104,47,2017-12-03 03:31:17,29476,2909
2,106,199,2018-04-14 18:08:25,5607,5258
3,54,35,2018-02-28 08:02:27,39658,4166
4,133,165,2017-11-28 10:16:26,95034,4397
5,102,37,2018-08-17 04:46:54,51769,7927
6,70,56,2017-11-29 12:41:11,8688,4577
7,122,193,2018-01-26 08:39:27,39989,4279
8,83,193,2018-05-06 14:57:21,45628,8504
9,93,3,2017-11-13 06:49:41,14525,790
10,99,70,2018-05-01 21:46:13,81151,7031
11,65,155,2018-09-19 21:54:46,16074,5144
12,93,122,2018-03-07 00:15:09,15900,3614
13,53,123,2018-07-02 16:24:06,17163,1006
14,111,86,2018-02-02 18:18:34,73361,888
15,68,150,2018-02-17 07:09:59,48921,7374
16,106,41,2017-11-20 19:59:08,25437,7898
17,58,65,2017-10-16 19:04:57,17572,1753
18,114,184,2018-02-25 17:10:15,5500,7263
19,180,2,2018-09-11 23:55:37,82216,7787
20,51,148,2018-04-06 12:19:11,9737,9907
21,40,124,2018-02-26 13:46:53,29898,3052
22,197,147,2018-02-26 21:54:32,75057,7742
23,45,89,2018-06-20 23:00:53,51962,9829
24,80,87,2017-10-03 05:40:26,90270,5145
25,62,95,2018-03-25 06:20:10,21483,3739
26,98,68,2018-07-14 14:31:08,98190,8443
27,99,150,2018-02-05 07:45:02,72987,4491
28,188,36,2018-04-01 23:37:14,7981,8790
29,175,61,2017-09-20 03:42:55,29175,2243
30,108,12,2017-12-16 00:24:53,75936,2658
31,181,104,2018-09-18 16:09:29,45242,47
32,119,55,2017-10-03 14:29:27,40097,8029
33,74,90,2017-06-08 18:38:56,4340,1746
34,77,177,2018-06-20 07:14:28,61778,1832
35,7,24,2018-07-20 02:10:18,28894,5175
36,177,134,2018-06-15 19:47:27,44655,313
37,129,81,2018-01-23 14:59:25,60301,6113
38,154,43,2018-02-14 18:38:06,56633,8575
39,122,34,2017-10-29 11:25:38,50171,9714
40,9,52,2017-08-05 07:12:00,46880,6277
41,114,197,2017-06-07 08:08:04,51548,2894
42,180,11,2018-05-26 18:28:17,93544,8900
43,71,101,2017-11-17 09:06:02,54864,8704
