id,user_id,begin_dttm,end_dttm
1,139,2017-07-23 15:03:25,2017-07-24 05:26:00
2,27,2018-06-14 02:10:09,2018-06-14 03:01:09
3,43,2018-02-12 14:42:35,2018-02-12 19:56:06
4,26,2018-01-23 05:19:49,2018-01-23 11:02:59
5,42,2017-07-04 21:52:56,2017-07-04 23:40:24
6,1,2018-07-12 04:03:51,2018-07-12 09:17:00
7,14,2018-05-17 22:09:04,2018-05-18 04:17:44
8,1,2018-06-03 07:22:04,2018-06-03 07:22:53
9,109,2017-06-28 11:20:36,2017-06-28 11:25:08
10,66,2018-07-10 19:53:27,2018-07-11 00:25:28
11,155,2018-05-03 00:43:40,2018-05-03 13:46:25
12,78,2018-09-06 04:55:07,2018-09-06 09:13:39
13,79,2017-08-15 10:41:20,2017-08-15 17:45:11
14,175,2018-04-24 02:08:56,2018-04-24 05:07:26
15,11,2018-07-25 15:40:06,2018-07-26 07:16:35
16,160,2018-05-18 03:20:29,2018-05-18 04:08:20
17,151,2017-12-05 05:56:55,2017-12-05 10:59:55
18,168,2018-05-28 16:57:08,2018-05-29 00:38:17
19,104,2017-11-20 11:08:21,2017-11-20 12:19:35
20,98,2017-09-07 12:03:47,2017-09-08 09:07:44
21,130,2017-08-07 03:46:14,2017-08-07 11:49:38
22,103,2017-11-19 19:44:44,2017-11-19 22:48:36
23,168,2018-05-20 23:24:00,2018-05-21 04:38:01
24,156,2018-06-30 02:48:42,2018-06-30 13:03:05
25,186,2018-09-08 18:43:06,2018-09-09 02:59:03
26,102,2017-09-06 05:45:03,2017-09-06 07:09:59
27,191,2018-01-25 10:58:31,2018-01-25 17:51:20
28,20,2018-05-16 06:52:34,2018-05-16 15:48:01
29,125,2018-08-14 23:51:15,2018-08-15 11:34:55
30,192,2018-07-04 00:34:26,2018-07-04 04:56:54
31,60,2018-09-16 07:44:11,2018-09-16 23:25:37
32,126,2018-04-16 01:02:13,2018-04-16 09:36:36
33,198,2017-09-30 13:13:52,2017-09-30 13:44:10
34,83,2017-11-17 02:02:02,2017-11-17 13:09:02
35,18,2018-07-29 08:48:51,2018-07-29 11:31:32
36,30,2018-08-06 17:01:52,2018-08-07 05:13:12
37,83,2017-07-23 19:50:59,2017-07-24 05:50:26
38,12,2017-08-12 15:51:57,2017-08-12 18:57:45
39,183,2018-05-08 03:22:36,2018-05-08 03:26:25
40,61,2017-06-26 16:44:30,2017-06-26 20:07:13
41,118,2017-09-16 11:55:49,2017-09-16 20:14:21
42,196,2018-06-14 06:18:53,2018-06-14 16:55:35
43,168,2017-10-28 16:51:38,2017-10-29 00:33:20
44,119,2018-06-23 15:16:38,2018-06-24 03:29:10
45,164,2017-08-04 09:18:33,2017-08-04 09:29:58
46,2,2017-12-22 01:32:46,2017-12-22 05:24:40
47,150,2017-08-09 09:11:05,2017-08-09 12:13:41
48,163,2018-08-22 00:41:18,2018-08-22 03:28:11
49,71,2018-08-13 10:49:43,2018-08-14 04:29:08
50,126,2017-08-12 10:57:58,2017-08-12 11:31:51
51,88,2017-10-16 21:27:44,2017-10-17 10:18:51
52,34,2018-05-10 11:36:34,2018-05-10 17:01:13
53,191,2017-11-02 13:50:54,2017-11-03 00:25:16
54,58,2017-12-19 13:02:25,2017-12-19 15:33:40
55,126,2017-10-31 06:31:55,2017-10-31 12:44:53
56,139,2018-03-03 14:30:32,2018-03-03 15:02:34
57,197,2018-07-31 14:05:46,2018-07-31 19:48:57
58,23,2017-12-15 12:11:50,2017-12-15 21:53:32
59,167,2017-12-05 02:49:53,2017-12-05 09:49:22
60,118,2018-01-24 10:54:33,2018-01-25 07:58:19
61,157,2017-12-23 01:12:56,2017-12-23 06:54:17
62,46,2018-03-08 16:39:00,2018-03-09 01:31:40
