id,name,description,price,begin_dttm,end_dttm,location,user_id,category_id,status_id,type_of_payment_id
1,Task #1,Task #1 description,12562,2017-11-28 22:12:49,2018-07-08 13:23:22,\N,168,11,1,3
2,Task #2,Task #2 description,73931,2017-06-28 20:01:38,2018-05-03 10:12:21,\N,147,11,4,4
3,Task #3,Task #3 description,39790,2018-05-03 14:57:00,2018-06-02 21:30:24,\N,22,19,4,2
4,Task #4,Task #4 description,4202,2018-05-22 12:20:04,2018-09-01 07:01:46,\N,176,11,4,3
5,Task #5,Task #5 description,88880,2018-05-15 01:40:00,2018-06-06 01:01:13,\N,172,7,4,2
6,Task #6,Task #6 description,96168,2018-07-29 18:13:54,2018-07-31 07:16:15,\N,53,13,1,5
7,Task #7,Task #7 description,18739,2017-12-13 10:41:22,2018-03-18 00:44:02,\N,154,3,2,2
8,Task #8,Task #8 description,48746,2017-11-07 15:49:33,2018-09-13 20:35:48,\N,158,18,4,2
9,Task #9,Task #9 description,42702,2017-11-28 21:10:51,2018-08-30 17:37:09,\N,197,20,2,5
10,Task #10,Task #10 description,10149,2017-10-15 13:49:02,2018-01-27 10:58:34,\N,121,3,3,5
11,Task #11,Task #11 description,33260,2018-02-22 06:49:31,2018-07-23 09:19:19,\N,10,5,3,3
12,Task #12,Task #12 description,86371,2017-11-01 15:15:07,2018-01-16 16:01:59,\N,25,20,4,4
13,Task #13,Task #13 description,55950,2017-08-29 00:09:36,2018-04-20 11:16:59,\N,151,6,5,2
14,Task #14,Task #14 description,11521,2017-11-15 20:06:44,2018-01-25 10:38:50,\N,117,6,2,1
15,Task #15,Task #15 description,86037,2017-06-22 21:38:51,2018-08-02 11:00:48,\N,50,6,3,4
16,Task #16,Task #16 description,23243,2017-09-22 10:49:19,2018-05-03 23:18:56,\N,57,5,2,5
17,Task #17,Task #17 description,782,2018-09-28 20:02:10,2018-09-30 02:55:46,\N,84,19,3,1
18,Task #18,Task #18 description,81638,2017-09-12 07:41:35,2018-07-15 14:17:10,\N,163,19,1,2
19,Task #19,Task #19 description,12295,2017-07-26 06:37:54,2017-08-13 02:52:50,\N,77,10,2,2
20,Task #20,Task #20 description,84010,2017-06-21 08:29:37,2017-10-21 11:28:17,\N,27,16,1,1
21,Task #21,Task #21 description,19890,2018-01-15 05:18:48,2018-07-14 02:33:38,\N,187,14,5,2
22,Task #22,Task #22 description,25159,2017-12-07 15:14:11,2018-05-27 05:40:17,\N,6,13,1,2
23,Task #23,Task #23 description,43983,2018-08-17 23:03:12,2018-09-07 06:45:30,\N,149,12,3,1
24,Task #24,Task #24 description,35625,2018-06-06 21:03:48,2018-08-06 02:50:14,\N,125,7,3,1
25,Task #25,Task #25 description,35598,2018-03-16 21:06:09,2018-09-27 00:50:50,\N,52,2,4,5
26,Task #26,Task #26 description,16780,2018-01-18 10:22:18,2018-08-26 18:25:29,\N,35,18,2,3
27,Task #27,Task #27 description,68516,2017-12-30 13:51:03,2018-03-04 13:12:28,\N,131,4,4,5
28,Task #28,Task #28 description,92095,2018-03-08 04:31:23,2018-08-26 05:36:04,\N,139,5,5,1
29,Task #29,Task #29 description,32428,2017-10-18 22:23:49,2018-02-28 02:29:04,\N,195,3,1,5
30,Task #30,Task #30 description,56929,2017-06-16 12:37:10,2018-02-06 20:58:32,\N,69,6,2,5
31,Task #31,Task #31 description,49793,2018-07-25 20:43:45,2018-09-06 09:34:05,\N,185,16,5,5
32,Task #32,Task #32 description,43416,2018-05-08 11:26:05,2018-08-09 05:17:15,\N,42,6,3,1
33,Task #33,Task #33 description,30133,2018-09-23 07:18:03,2018-09-26 04:53:18,\N,122,2,1,1
34,Task #34,Task #34 description,67704,2018-06-02 02:48:31,2018-07-14 15:33:45,\N,91,10,2,3
35,Task #35,Task #35 description,21182,2017-06-23 21:06:03,2017-08-14 09:41:38,\N,32,15,4,5
36,Task #36,Task #36 description,44075,2017-08-02 01:55:56,2018-06-18 16:34:25,\N,194,20,2,1
37,Task #37,Task #37 description,18134,2018-05-29 17:23:19,2018-06-10 09:22:31,\N,53,4,3,1
38,Task #38,Task #38 description,46255,2018-02-28 18:54:24,2018-08-31 15:47:19,\N,73,16,4,3
39,Task #39,Task #39 description,87128,2018-05-31 16:15:06,2018-06-12 13:34:47,\N,191,13,4,5
40,Task #40,Task #40 description,9810,2017-07-18 17:34:25,2018-07-17 08:51:51,\N,105,13,1,3
41,Task #41,Task #41 description,38105,2017-08-06 20:26:39,2018-05-17 11:38:36,\N,96,18,2,1
42,Task #42,Task #42 description,21452,2018-09-26 05:58:12,2018-09-29 16:09:21,\N,178,12,3,5
43,Task #43,Task #43 description,14725,2018-06-03 16:18:36,2018-08-19 10:06:09,\N,33,9,4,2
44,Task #44,Task #44 description,4922,2017-08-02 07:32:29,2018-02-07 00:40:26,\N,132,10,5,2
