id,task_id,worker_id
1,5320,92
2,5808,155
3,5600,49
4,8003,177
5,388,51
6,7154,167
7,2032,156
8,5768,93
9,3415,189
10,3749,23
11,9904,134
12,462,164
13,9980,37
14,3126,189
15,6401,198
16,9029,176
17,4191,34
18,5864,17
19,6485,174
20,4295,113
21,1890,88
22,8925,152
23,3516,34
24,6986,82
25,9196,142
26,3217,132
27,8226,30
28,1227,111
29,8445,142
30,6666,19
31,9576,181
32,8516,13
33,1124,157
34,9764,173
35,1373,108
36,8977,146
37,1908,73
38,497,114
39,8555,111
40,8203,97
41,7503,174
42,9971,130
43,9177,159
44,732,5
45,7912,27
46,872,159
47,5493,65
48,7,47
49,7802,156
50,4994,20
51,7760,83
52,8392,97
53,2083,60
54,2070,91
55,8532,150
56,2305,70
57,8199,182
58,3853,10
59,9488,69
60,2433,99
61,4973,122
62,6107,175
63,8840,88
64,4431,136
65,2909,63
66,3859,149
67,2429,196
68,4153,142
69,8574,138
70,4174,115
71,1135,5
72,6678,86
73,5522,146
74,1880,24
75,9291,125
76,1254,193
77,5653,86
78,8764,154
79,3449,158
80,4341,145
81,6707,83
82,606,128
83,4242,51
84,2560,115
85,440,150
86,7351,123
87,9521,66
88,8687,84
89,8830,114
90,7801,6
91,2104,118
92,2683,112
93,8880,13
94,3173,127
95,5557,196
96,2202,147
97,3356,143
98,3994,51
99,2733,12
100,5310,4
101,395,79
102,5938,59
103,2399,200
104,9916,113
105,2681,158
106,2757,111
107,2129,161
108,9061,75
109,5993,111
110,9756,6
111,1652,11
112,3550,113
113,9958,30
114,82,164
115,88,73
116,6281,146
117,6138,89
118,670,171
119,2848,64
120,6534,77
121,7235,183
122,6013,94
123,5548,90
124,7146,137
125,8293,168
126,8100,81
127,9516,110
128,2340,171
129,849,11
130,813,57
131,3472,29
132,3759,101
133,3187,122
134,2380,101
135,2640,62
136,2925,110
137,9903,135
138,9710,21
139,6273,83
140,3946,152
141,7259,199
142,3469,18
143,641,200
144,5346,59
145,2810,71
146,5671,179
147,1832,66
148,5203,52
149,1678,105
150,3335,8
151,1165,136
